"title","creator","type","description","release_date","language"
"13 Assassins","Takashi Miike","Movie","Released in 2010, 13 Assassins is a Japanese feature shaped by Takashi Miike, pairing strong performances with a clear sense of place and pacing.","2010-09-25","Japanese"
"1Q84","Haruki Murakami","Book","Haruki Murakami's 1Q84 (2009) mixes intimate scenes with wider social backdrop, anchored in Japanese and diaspora storytelling traditions.","2009-05-29","Japanese"
"2046","Wong Kar-wai","Movie","2046 (2004) is a Hong Kong film by Wong Kar-wai, following characters through conflict and consequence with a distinctive visual and narrative voice.","2004-05-20","Cantonese"
"3 Idiots","Rajkumar Hirani","Movie","3 Idiots (2009) is an Indian film directed by Rajkumar Hirani, balancing character drama with memorable set pieces and tone.","2009-12-25","Hindi"
"5-STAR","Stray Kids","Music","5-STAR (2023), from Stray Kids, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2023-06-02","Korean"
"A Better Tomorrow","John Woo","Movie","Released in 1986, A Better Tomorrow is a Hong Kong feature shaped by John Woo, pairing strong performances with a clear sense of place and pacing.","1986-08-02","Cantonese"
"A Bittersweet Life","Kim Jee-woon","Movie","Released in 2005, A Bittersweet Life is a South Korean feature shaped by Kim Jee-woon, pairing strong performances with a clear sense of place and pacing.","2005-04-01","Korean"
"A Brighter Summer Day","Edward Yang","Movie","A Brighter Summer Day (1991) is a Taiwanese film directed by Edward Yang, balancing character drama with memorable set pieces and tone.","1991-07-27","Mandarin"
"A Fine Balance","Rohinton Mistry","Book","A Fine Balance (1995) is a novel by Rohinton Mistry that weaves personal voice with history, family, and place across its chapters.","1995-11-06","English"
"A Silent Voice","Yoshitoki Oima","Manga","A Silent Voice (2011) is serialized manga by Yoshitoki Oima, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","2011-08-17","Japanese"
"A Suitable Boy","Mira Nair","TV Show","An Indian show led by Mira Nair, A Suitable Boy premiered around 2020 and blends episodic hooks with season-long arcs and production polish.","2020-10-26","Hindi / English"
"A Suitable Boy","Vikram Seth","Book","A Suitable Boy (1993) is a novel by Vikram Seth that weaves personal voice with history, family, and place across its chapters.","1993-05-08","English"
"A Suitable Girl","Sarita Khurana","Documentary","Shot through an Indian lens, A Suitable Girl (2017) comes from filmmaker Sarita Khurana and asks viewers to sit with facts, context, and human detail.","2017-01-20","Hindi / English"
"A Tale of Two Sisters","Kim Jee-woon","Movie","This 2003 South Korean release, A Tale of Two Sisters, is helmed by Kim Jee-woon and sits among standout work from its era for mood, story, and craft.","2003-06-13","Korean"
"A Thousand Cuts","Ramona S. Diaz","Documentary","A Thousand Cuts (2020) is a Filipino documentary by Ramona S. Diaz, focusing on real people and events with an observational, journalistic edge.","2020-01-25","English / Filipino"
"A Touch of Sin","Jia Zhangke","Movie","A Touch of Sin (2013) is a Chinese film directed by Jia Zhangke, balancing character drama with memorable set pieces and tone.","2013-05-17","Mandarin"
"Abacus: Small Enough to Jail","Steve James","Documentary","Shot through an American lens, Abacus: Small Enough to Jail (2016) comes from filmmaker Steve James and asks viewers to sit with facts, context, and human detail.","2016-09-11","English"
"Ae Dil Hai Mushkil","Pritam","Music","Ae Dil Hai Mushkil (2016) is a recorded project by Pritam, showcasing melody, production, and performance within the Indian popular-music landscape.","2016-10-28","Hindi"
"After Life","Hirokazu Kore-eda","Movie","After Life (1998) is a Japanese film by Hirokazu Kore-eda, following characters through conflict and consequence with a distinctive visual and narrative voice.","1998-05-23","Japanese"
"After Yang","Kogonada","Movie","After Yang (2021) is an American film by Kogonada, following characters through conflict and consequence with a distinctive visual and narrative voice.","2021-07-02","English"
"Ajoomma","He Shuming","Movie","This 2022 Singaporean release, Ajoomma, is helmed by He Shuming and sits among standout work from its era for mood, story, and craft.","2022-10-07","Mandarin / Korean"
"Akira","Katsuhiro Otomo","Movie","Released in 1988, Akira is a Japanese feature shaped by Katsuhiro Otomo, pairing strong performances with a clear sense of place and pacing.","1988-07-16","Japanese"
"Alice in Borderland","Shinsuke Sato","TV Show","Alice in Borderland follows an ensemble through shifting relationships and plot turns; by Shinsuke Sato, it represents a notable Japanese entry in contemporary TV.","2020-12-10","Japanese"
"All of Us Are Dead","Lee Jae-kyoo","TV Show","All of Us Are Dead (2022 debut) is a South Korean series by Lee Jae-kyoo, built for long-form storytelling, recurring characters, and serialized stakes.","2022-01-28","Korean"
"Along with the Gods: The Two Worlds","Kim Yong-hwa","Movie","This 2017 South Korean release, Along with the Gods: The Two Worlds, is helmed by Kim Yong-hwa and sits among standout work from its era for mood, story, and craft.","2017-12-20","Korean"
"Always Be My Maybe","Nahnatchka Khan","Movie","Always Be My Maybe (2019) is an American film directed by Nahnatchka Khan, balancing character drama with memorable set pieces and tone.","2019-05-31","English"
"American Born Chinese","Gene Luen Yang","Book","A graphic novel braiding three tales about identity myth and the everyday work of seeing yourself clearly.","2006-09-05","English"
"American Born Chinese","Destin Daniel Cretton","TV Show","American Born Chinese (2023 debut) is an American series by Destin Daniel Cretton, built for long-form storytelling, recurring characters, and serialized stakes.","2023-05-24","English"
"Amit","Faye Wong","Music","Amit (2009) is a recorded project by Faye Wong, showcasing melody, production, and performance within the Hong Kong popular-music landscape.","2009-10-07","Mandarin"
