"title","creator","type","description","release_date","language"
"13 Assassins","Takashi Miike","Movie","13 Assassins is a widely taught movie from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2010-09-25","Japanese"
"1Q84","Haruki Murakami","Book","1Q84 is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2009-05-29","Japanese"
"2046","Wong Kar-wai","Movie","2046 is a widely taught movie from Hong Kong that helps audiences compare how family migration and power show up on screen and in everyday life.","2004-05-20","Cantonese"
"3 Idiots","Rajkumar Hirani","Movie","3 Idiots is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2009-12-25","Hindi"
"5-STAR","Stray Kids","Music","5-STAR is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2023-06-02","Korean"
"A Better Tomorrow","John Woo","Movie","Classrooms and film clubs often return to A Better Tomorrow when discussing Hong Kong storytelling traditions diaspora voices and the politics of representation.","1986-08-02","Cantonese"
"A Bittersweet Life","Kim Jee-woon","Movie","A Bittersweet Life remains a touchstone in South Korea cultural studies for how it stages identity history and community with clarity and emotional precision.","2005-04-01","Korean"
"A Brighter Summer Day","Edward Yang","Movie","A Brighter Summer Day is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1991-07-27","Mandarin"
"A Fine Balance","Rohinton Mistry","Book","Classrooms and film clubs often return to A Fine Balance when discussing Canada storytelling traditions diaspora voices and the politics of representation.","1995-11-06","English"
"A Silent Voice","Yoshitoki Oima","Manga","Scholars and community educators cite A Silent Voice when mapping how Japan creators experiment with form while staying rooted in lived experience.","2011-08-17","Japanese"
"A Suitable Boy","Mira Nair","TV Show","A Suitable Boy remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2020-10-26","Hindi / English"
"A Suitable Boy","Vikram Seth","Book","A Suitable Boy is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1993-05-08","English"
"A Suitable Girl","Sarita Khurana","Documentary","A Suitable Girl helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2017-01-20","Hindi / English"
"A Tale of Two Sisters","Kim Jee-woon","Movie","A Tale of Two Sisters offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2003-06-13","Korean"
"A Thousand Cuts","Ramona S. Diaz","Documentary","A Thousand Cuts helps audiences practice close attention to nuance in Philippines narratives where humor grief and resilience often share the same scene.","2020-01-25","English / Filipino"
"A Touch of Sin","Jia Zhangke","Movie","A Touch of Sin helps audiences practice close attention to nuance in China narratives where humor grief and resilience often share the same scene.","2013-05-17","Mandarin"
"Abacus: Small Enough to Jail","Steve James","Documentary","Scholars and community educators cite Abacus: Small Enough to Jail when mapping how United States creators experiment with form while staying rooted in lived experience.","2016-09-11","English"
"Ae Dil Hai Mushkil","Pritam","Music","Ae Dil Hai Mushkil helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2016-10-28","Hindi"
"After Life","Hirokazu Kore-eda","Movie","After Life is a widely taught movie from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","1998-05-23","Japanese"
"After Yang","Kogonada","Movie","After Yang offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2021-07-02","English"
"Ajoomma","He Shuming","Movie","Ajoomma is a widely taught movie from Singapore that helps audiences compare how family migration and power show up on screen and in everyday life.","2022-10-07","Mandarin / Korean"
"Akira","Katsuhiro Otomo","Movie","Scholars and community educators cite Akira when mapping how Japan creators experiment with form while staying rooted in lived experience.","1988-07-16","Japanese"
"Alice in Borderland","Shinsuke Sato","TV Show","Alice in Borderland helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2020-12-10","Japanese"
